stockname,timestamp,open,high,low,close,volume
PBR-A,2024-12-19,NA,NA,NA,NA,NA
PBR-A,2024-12-20,NA,NA,NA,NA,NA
PBR-A,2024-12-21,12.199575,12.199575,12.199575,12.199575,0
PBR-A,2024-12-23,NA,NA,NA,NA,NA
PBR-A,2024-12-24,NA,NA,NA,NA,NA
PBR-A,2024-12-26,NA,NA,NA,NA,NA
PBR-A,2024-12-27,NA,NA,NA,NA,NA
PBR-A,2024-12-28,11.6399,11.6399,11.6399,11.6399,NA
PBR-A,2024-12-30,NA,NA,NA,NA,NA
PBR-A,2024-12-31,NA,NA,NA,NA,NA
PCG,2024-12-16,NA,NA,NA,NA,NA
PCG,2024-12-17,NA,NA,NA,NA,NA
PCG,2024-12-18,NA,NA,NA,NA,NA
PCG,2024-12-19,NA,NA,NA,NA,NA
PCG,2024-12-20,NA,NA,NA,NA,NA
PCG,2024-12-21,19.884999999999998,19.884999999999998,19.884999999999998,19.884999999999998,NA
PCG,2024-12-23,NA,NA,NA,NA,NA
PCG,2024-12-24,NA,NA,NA,NA,NA
PCG,2024-12-26,NA,NA,NA,NA,NA
PCG,2024-12-27,NA,NA,NA,NA,NA
PCG,2024-12-28,20.176666666666666,20.176666666666666,20.176666666666666,20.176666666666666,NA
PCG,2024-12-30,20.06320653338565,20.06996153107473,20.057418691479565,20.064296678166134,NA
PCG,2024-12-31,20.143570666249595,20.149750145439874,20.13701242432176,20.143448420200492,NA
PCVX,2024-12-16,NA,NA,NA,NA,NA
PCVX,2024-12-17,NA,NA,NA,NA,NA
PCVX,2024-12-18,NA,NA,NA,NA,NA
PCVX,2024-12-19,NA,NA,NA,NA,NA
PCVX,2024-12-20,NA,NA,NA,NA,NA
PCVX,2024-12-21,90.86,90.86,90.85,90.85,NA
PCVX,2024-12-23,NA,NA,NA,NA,NA
PCVX,2024-12-24,NA,NA,NA,NA,NA
PCVX,2024-12-26,NA,NA,NA,NA,NA
PCVX,2024-12-27,NA,NA,NA,NA,NA
PCVX,2024-12-28,81.38555555555556,81.63888888888889,81.38333333333334,81.38333333333334,NA
PCVX,2024-12-30,NA,NA,NA,NA,NA
PCVX,2024-12-31,NA,NA,NA,NA,NA
PDD,2024-12-16,NA,NA,NA,NA,NA
PDD,2024-12-17,NA,NA,NA,NA,NA
PDD,2024-12-18,NA,NA,NA,NA,NA
PDD,2024-12-19,NA,NA,NA,NA,NA
PDD,2024-12-20,NA,NA,NA,NA,NA
PDD,2024-12-21,99.66320384615385,99.67778846153847,99.6525076923077,99.66747692307692,NA
PDD,2024-12-23,NA,NA,NA,NA,NA
PDD,2024-12-24,NA,NA,NA,NA,NA
PDD,2024-12-26,99.25983240653144,99.28311600907644,99.23844395794339,99.2587942571852,NA
PDD,2024-12-27,97.72913217652751,97.75587540053704,97.7025492512955,97.72726189433736,NA
PDD,2024-12-28,97.51069230769231,97.52992307692307,97.50646153846154,97.52376923076923,NA
PDD,2024-12-30,95.30166292957931,95.33178617745695,95.26866306401894,95.2983492052876,NA
PDD,2024-12-31,96.76274258649859,96.79676737421954,96.72875009930847,96.76634279083169,NA
PENN,2024-12-14,20.7837,20.787033333333333,20.7837,20.787033333333333,NA
PENN,2024-12-16,NA,NA,NA,NA,NA
PENN,2024-12-17,NA,NA,NA,NA,NA
PENN,2024-12-18,NA,NA,NA,NA,NA
PENN,2024-12-19,NA,NA,NA,NA,NA
PENN,2024-12-20,NA,NA,NA,NA,NA
PENN,2024-12-21,18.62,18.62,18.62,18.62,0
PENN,2024-12-23,NA,NA,NA,NA,NA
PENN,2024-12-24,NA,NA,NA,NA,NA
PENN,2024-12-26,NA,NA,NA,NA,NA
PENN,2024-12-27,NA,NA,NA,NA,NA
PENN,2024-12-28,18.6899,18.6899,18.6899,18.6899,NA
PENN,2024-12-30,18.647054020042063,18.65890211640474,18.634599265430893,18.647535958934625,NA
PENN,2024-12-31,NA,NA,NA,NA,NA
PFE,2024-12-14,25.54551875,25.546983333333333,25.542597916666665,25.54530625,NA
PFE,2024-12-16,NA,NA,NA,NA,NA
PFE,2024-12-17,NA,NA,NA,NA,NA
PFE,2024-12-18,NA,NA,NA,NA,NA
PFE,2024-12-19,NA,NA,NA,NA,NA
PFE,2024-12-20,NA,NA,NA,NA,NA
PFE,2024-12-21,26.33791,26.339499999999997,26.33181,26.335302,0
PFE,2024-12-23,NA,NA,NA,NA,NA
PFE,2024-12-24,NA,NA,NA,NA,NA
PFE,2024-12-26,26.600177865340388,26.610431098307934,26.589868392208345,26.599481176073862,NA
PFE,2024-12-27,26.597087515383862,26.6069700931022,26.589603717148222,26.599765249240704,NA
PFE,2024-12-28,26.574605154639176,26.577178350515464,26.57192268041237,26.575219587628865,NA
PFE,2024-12-30,26.45753350188419,26.465077652805874,26.449280865223205,26.4573241938185,NA
PFE,2024-12-31,26.474961055228935,26.482004849485875,26.467745862638612,26.47513727592722,NA
PKX,2024-12-16,NA,NA,NA,NA,NA
PKX,2024-12-17,NA,NA,NA,NA,NA
PKX,2024-12-18,NA,NA,NA,NA,NA
PKX,2024-12-19,NA,NA,NA,NA,NA
PKX,2024-12-20,NA,NA,NA,NA,NA
PKX,2024-12-23,NA,NA,NA,NA,NA
PKX,2024-12-24,NA,NA,NA,NA,NA
PKX,2024-12-26,NA,NA,NA,NA,NA
PKX,2024-12-27,NA,NA,NA,NA,NA
PKX,2024-12-30,NA,NA,NA,NA,NA
PKX,2024-12-31,NA,NA,NA,NA,NA
PLTR,2024-12-16,NA,NA,NA,NA,NA
PLTR,2024-12-17,NA,NA,NA,NA,NA
PLTR,2024-12-18,NA,NA,NA,NA,NA
PLTR,2024-12-19,NA,NA,NA,NA,NA
PLTR,2024-12-20,NA,NA,NA,NA,NA
PLTR,2024-12-21,80.66342166666666,80.70278833333333,80.60685,80.65409166666667,NA
PLTR,2024-12-23,NA,NA,NA,NA,NA
PLTR,2024-12-24,NA,NA,NA,NA,NA
PLTR,2024-12-26,82.49332276106162,82.54111307879597,82.43784592408333,82.4907468945008,NA
PLTR,2024-12-27,79.9893576624677,80.04050011990894,79.91761387687973,79.98410504337983,NA
PLTR,2024-12-28,78.86323305785123,78.88125454545454,78.83833223140496,78.86167107438017,NA
PLTR,2024-12-30,77.53176441378773,77.60395419387282,77.46172773604171,77.52432679252799,NA
PLTR,2024-12-31,76.6527829229371,76.70149268441517,76.59746173346308,76.64894001964991,NA
PLUG,2024-12-14,2.421321212121212,2.422681818181818,2.419942424242424,2.4213060606060606,NA
PLUG,2024-12-16,NA,NA,NA,NA,NA
